id,name,latitude,longitude,address,description,supported_sports
1,PGE Narodowy Stadium,52.23977,21.04544,"Księcia Józefa Poniatowskiego Ave. 1, 03-901 Warsaw","A multi-purpose national stadium. Running paths, rollerblading routes, a modern skatepark and outdoor fitness zones surround the arena.","1,5,7,9"
2,Pole Mokotowskie Park,52.21199,21.00056,"Rokitnicka St. 1, 02-131 Warsaw","One of the largest parks in Warsaw. An excellent place for running, rollerblading and recreational cycling. It also offers table tennis tables and wide lawns for volleyball.","5,6,7,3"
3,Szczęśliwicki Park,52.20530,20.95937,"Włodarzewska St. 54, 02-384 Warsaw","A picturesque park with a year-round ski slope, an open-air summer pool, numerous running routes and a professional street workout zone.","5,7,9,10"
4,Śródmieście Sports Centre - Polna,52.21557,21.01719,"Polna St. 7A, 00-625 Warsaw","A modern sports centre with an indoor swimming pool, a sports hall for basketball and volleyball, and a well-equipped gym.","2,3,8,10"
5,Powsin Culture Park,52.11351,21.09078,"Maślaków St. 1, 02-973 Warsaw","A sports and recreation complex on the outskirts of the city. It offers an outdoor pool, tennis courts, basketball and volleyball courts, and numerous cycling paths.","2,3,4,6,10"
6,Raszyńska Sports Centre,52.22108,20.98925,"Raszyńska St. 22, 02-026 Warsaw",A school and public sports complex with a modern swimming pool and a hall for team games.,"2,3,10"
7,Ignacy Jan Paderewski Skaryszewski Park,52.24227,21.05557,"Zieleniecka Ave. 2, 03-901 Warsaw","A historic landscape park, ideal for runners and cyclists. Its paved alleys suit rollerblading, and quiet corners invite outdoor exercise.","5,6,7"
8,Mera Warsaw Tennis Club,52.21368,20.96234,"Bohaterów Września St. 9, 02-389 Warsaw",A professional tennis club with many outdoor courts and covered dome halls. A small fitness zone is also available.,"4,8"
9,Sprint Calisthenics and Street Workout Zone,52.23469,20.98235,"Towarowa St. 36A, 00-839 Warsaw","A free, publicly accessible calisthenics park with pull-up bars, parallel bars, wall ladders and monkey bars over a safe, fall-absorbing surface.","5,9"
10,Wola District Sports and Recreation Centre,52.23926,20.94024,"Górczewska St. 129, 01-109 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","1,3,4,8"
11,Eagle Calisthenics and Street Workout Zone,52.29918,21.04220,"Chodecka St. 21, 03-350 Warsaw","A free, publicly accessible calisthenics park with pull-up bars, parallel bars, wall ladders and monkey bars over a safe, fall-absorbing surface.","5,9"
12,Active Warsaw Sports Complex,52.20717,20.97245,"Grójecka St. 118, 02-367 Warsaw",Multi-purpose sports pitches with a polyurethane or artificial grass surface. An ideal place for local amateur games and all-round training.,"3,4,9"
13,Brook City Park in Ursynów,52.14969,21.04644,"KEN Ave. 60, 02-777 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.",9
14,Torch Sports Complex,52.26344,21.16825,"Chruściela St. 94, 04-412 Warsaw",Multi-purpose sports pitches with a polyurethane or artificial grass surface. An ideal place for local amateur games and all-round training.,9
15,Torch Calisthenics and Street Workout Zone,52.27375,21.01388,"Jagiellońska St. 63, 03-301 Warsaw","A free, publicly accessible calisthenics park with pull-up bars, parallel bars, wall ladders and monkey bars over a safe, fall-absorbing surface.","5,9"
16,Wilanów District Sports and Recreation Centre,52.12820,21.10349,"Przyczółkowa St. 69, 02-968 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","2,4,8,10"
17,Vistula City Park in Bielany,52.27754,20.94012,"Żeromskiego St. 81, 01-882 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.","5,6,7,9"
18,Athlete Calisthenics and Street Workout Zone,52.25684,21.05106,"Radzymińska St. 16, 03-752 Warsaw","A free, publicly accessible calisthenics park with pull-up bars, parallel bars, wall ladders and monkey bars over a safe, fall-absorbing surface.",9
19,Thunder Calisthenics and Street Workout Zone,52.19433,20.98164,"Żwirki i Wigury St. 29, 02-091 Warsaw","A free, publicly accessible calisthenics park with pull-up bars, parallel bars, wall ladders and monkey bars over a safe, fall-absorbing surface.",9
20,Falcon Calisthenics and Street Workout Zone,52.27112,20.97735,"Słowackiego St. 38/46, 01-634 Warsaw","A free, publicly accessible calisthenics park with pull-up bars, parallel bars, wall ladders and monkey bars over a safe, fall-absorbing surface.","5,9"
21,Włochy District Sports and Recreation Centre,52.20269,20.92850,"Popularna St. 62, 02-473 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","1,2,8,10"
22,Victors Calisthenics and Street Workout Zone,52.20047,21.14958,"Zwoleńska St. 68, 04-761 Warsaw","A free, publicly accessible calisthenics park with pull-up bars, parallel bars, wall ladders and monkey bars over a safe, fall-absorbing surface.",5
23,Mazovia Fitness and Gym Club,52.19758,20.92393,"Kleszczowa St. 43, 02-494 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
24,Ursynów District Sports and Recreation Centre,52.14737,21.04216,"Gandhi St. 15, 02-770 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","3,4"
25,Champion City Park in Praga-Południe,52.23806,21.05582,"Saska St. 113, 03-914 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.",5
26,Vistula Calisthenics and Street Workout Zone,52.29880,21.04208,"Chodecka St. 19, 03-350 Warsaw","A free, publicly accessible calisthenics park with pull-up bars, parallel bars, wall ladders and monkey bars over a safe, fall-absorbing surface.","5,9"
27,Mazovia City Park in Wola,52.23932,20.93950,"Górczewska St. 137, 01-109 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.",9
28,Glade Swimming Pool and Recreation Centre,52.23438,20.98216,"Towarowa St. 36, 00-839 Warsaw","A sports facility with a full-size swimming pool, a recreation zone, a sauna and a fitness room for supplementary training.","8,10"
29,Athlete City Park in Ursus,52.18951,20.87571,"Regulska St. 43A, 02-495 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.","5,6,7,9"
30,Mermaid City Park in Mokotów,52.20999,21.00814,"Batorego St. 39, 02-591 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.","5,7"
31,Praga-Północ District Sports and Recreation Centre,52.24914,21.04461,"Targowa St. 18, 03-731 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.",8
32,Targówek District Sports and Recreation Centre,52.29756,21.04304,"Chodecka St. 18, 03-350 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","3,10"
33,Mazovia Fitness and Gym Club 2,52.15479,21.08058,"Rzeczypospolitej Ave. 3, 02-972 Warsaw","A modern, air-conditioned training space fitted with top-quality cardio equipment and weight machines. Trainer support is available on site.",8
34,Mazovia City Park in Włochy,52.20407,20.92431,"Popularna St. 41, 02-495 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.","5,6,9"
35,Wola District Sports and Recreation Centre 2,52.25194,20.98227,"Okopowa St. 78, 01-042 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","3,4,8"
36,Ursynów District Sports and Recreation Centre 2,52.14403,21.03445,"Gandhi St. 35, 02-775 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.","2,4,8"
37,Parkowa Swimming Pool and Recreation Centre,52.21666,21.02011,"Marszałkowska St. 20/22, 00-590 Warsaw","A sports facility with a full-size swimming pool, a recreation zone, a sauna and a fitness room for supplementary training.","8,10"
38,Arena City Park in Mokotów,52.20096,21.00102,"Wołoska St. 88, 02-553 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.","6,7"
39,Włochy District Sports and Recreation Centre 2,52.19778,20.92295,"Kleszczowa St. 39, 02-485 Warsaw","A modern municipal facility offering professional sports infrastructure. The complex includes pitches, changing and sanitary facilities, and floodlighting for play after dark.",2
40,Marathon Calisthenics and Street Workout Zone,52.12455,21.10382,"Przyczółkowa St. 64A, 02-968 Warsaw","A free, publicly accessible calisthenics park with pull-up bars, parallel bars, wall ladders and monkey bars over a safe, fall-absorbing surface.",5
41,Thunder City Park in Bemowo,52.25694,20.92106,"Wrocławska St. 38, 01-493 Warsaw","A green recreational space with marked, paved alleys ideal for outdoor sports. Open to all residents around the clock.","6,9"
42,Golden Star Sports Complex,52.15649,21.04666,"Rosoła St. 68, 02-786 Warsaw",Multi-purpose sports pitches with a polyurethane or artificial grass surface. An ideal place for local amateur games and all-round training.,3
